label,tt,result,n_covered,n_empty,total_domain,profiles,edges_partial,edges_incompat
lift_2219,0x08AB08AB,UNSAT,40,0,151718,7090,425,4
lift_xor_2219,0xF75408AB,EMPTY+GENUINE,28,12,40354,4080,166,4
lift_and_2219,0x08AB0000,UNSAT,40,0,279083,9809,363,2
lift_2232,0x08B808B8,UNSAT,40,0,168641,9346,438,0
lift_xor_2232,0xF74708B8,EMPTY+GENUINE,27,13,48501,4943,161,0
lift_and_2232,0x08B80000,UNSAT,40,0,298660,10798,364,0
lift_2235,0x08BB08BB,UNSAT,40,0,148635,6807,428,2
lift_xor_2235,0xF74408BB,EMPTY+GENUINE,30,10,43726,4532,199,2
lift_and_2235,0x08BB0000,UNSAT,40,0,265480,9817,387,1
lift_2253,0x08CD08CD,UNSAT,40,0,151718,7090,425,4
lift_xor_2253,0xF73208CD,EMPTY+GENUINE,28,12,40354,4080,166,4
lift_and_2253,0x08CD0000,UNSAT,40,0,279083,9809,363,2
lift_2264,0x08D808D8,UNSAT,40,0,168641,9346,438,0
lift_xor_2264,0xF72708D8,EMPTY+GENUINE,27,13,48501,4943,161,0
lift_and_2264,0x08D80000,UNSAT,40,0,298660,10798,364,0
lift_2269,0x08DD08DD,UNSAT,40,0,148635,6807,428,2
lift_xor_2269,0xF72208DD,EMPTY+GENUINE,30,10,43726,4532,199,2
lift_and_2269,0x08DD0000,UNSAT,40,0,265480,9817,387,1
lift_2280,0x08E808E8,UNSAT,40,0,164029,9555,431,0
lift_xor_2280,0xF71708E8,EMPTY+GENUINE,25,15,48065,4741,139,0
lift_and_2280,0x08E80000,UNSAT,40,0,296511,10537,364,0
lift_2282,0x08EA08EA,UNSAT,40,0,160153,8553,437,0
lift_xor_2282,0xF71508EA,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_2282,0x08EA0000,UNSAT,40,0,281760,10415,381,0
lift_2284,0x08EC08EC,UNSAT,40,0,160153,8553,437,0
lift_xor_2284,0xF71308EC,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_2284,0x08EC0000,UNSAT,40,0,281760,10415,381,0
lift_2298,0x08FA08FA,UNSAT,40,0,165266,8999,439,0
lift_xor_2298,0xF70508FA,EMPTY+GENUINE,30,10,43726,4532,204,0
lift_and_2298,0x08FA0000,UNSAT,40,0,271442,10864,389,0
lift_2299,0x08FB08FB,UNSAT,40,0,145569,6568,424,4
lift_xor_2299,0xF70408FB,EMPTY+GENUINE,30,10,42103,4120,190,4
lift_and_2299,0x08FB0000,UNSAT,40,0,251291,9711,391,2
lift_2300,0x08FC08FC,UNSAT,40,0,165266,8999,439,0
lift_xor_2300,0xF70308FC,EMPTY+GENUINE,30,10,43726,4532,204,0
lift_and_2300,0x08FC0000,UNSAT,40,0,271442,10864,389,0
lift_2301,0x08FD08FD,UNSAT,40,0,145569,6568,424,4
